latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
40.64528,45.21381,345.23,4.64,1.97,2025-11-23,0124,A,100,6.1NRT,280.07,523.57,N
40.63307,45.25726,347.02,4.68,1.98,2025-11-23,0124,A,100,6.1NRT,280.58,562.29,N
40.63009,45.20214,319.52,4.64,1.97,2025-11-23,0124,A,99,6.1NRT,277.25,198.98,N
40.61827,45.24406,325.37,4.68,1.98,2025-11-23,0124,A,100,6.1NRT,275.99,258.26,N
40.68915,44.7974,308.97,4.38,1.93,2025-11-23,0124,A,76,6.1NRT,277.8,110.14,N
40.67632,44.84305,304.39,4.41,1.93,2025-11-23,0124,A,58,6.1NRT,275.67,86.22,N
40.64401,45.20614,331.5,4.64,1.97,2025-11-23,0124,A,100,6.1NRT,278.6,311.87,N
40.63226,45.24875,351.53,4.68,1.98,2025-11-23,0124,A,100,6.1NRT,283.54,639.7,N
40.61744,45.23549,309.5,4.68,1.98,2025-11-23,0124,A,78,6.1NRT,275.11,129.89,N
40.68686,44.78535,304.41,4.38,1.93,2025-11-23,0124,A,60,6.1NRT,277.08,91.66,N
40.67432,44.83086,311.04,4.41,1.93,2025-11-23,0124,A,82,6.1NRT,275.86,130.13,N
31.66507,6.06071,308.63,1.08,1.04,2025-11-23,0304,A,75,6.1NRT,276.92,15.76,N
31.06075,8.03563,321.24,1.37,1.16,2025-11-23,0304,A,100,6.1NRT,273.35,39.58,N
